Team Names
The Myth of the Zalatoris
Saudi Slush Fund
Tiger’s Wood
LIVing on a Prayer (and Oil)
Putt Plug
The Trimmed Fairway
Get in the Hole!
"Pimento Cheese, on the Way Out"
Grip it n' Rip it Off
"Gooddd Gooooooddddd, Anakin?"
Rory's Two-Footer
Erica Stoll
Tiger's Designated Driver
I Eat Shit Like You for Breakfast
"The Price is Wrong, Bitch"
Mil Phickelson
Chubbs
I'm the One Who Threw the Bottle at Rory at Bethpage
Harris English + Collin Morikawa
"22HC, with Five Hole-in-Ones"
"Pitch, Putt, Drive, Consort with Trump, Diddle, Deny"
"Tiger Rounding Amen Corner, No Beer Just Painkillers"
"55 Burgers, 55 Fries, 55 Tacos, 55 Pies, 55 Points Max"
He Came in Two Strokes Under
Country Club Elitist
The Thai Spinner (They)
Guy Who Bumps and Runs
Rory's LIV Money
Brooks Koepka's Tears
Buttler Cabin
Topped It
